Sample,Forest,Species,Replicate
AHA_ASH,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHA_BEE,Alice_Holt,Fagus_sylvatica,AH_BEE
AHA_BET,Alice_Holt,Betula_pendula,AH_BET
AHA_HAZ,Alice_Holt,Corylus_avellana,AH_HAZ
AHA_OAK,Alice_Holt,Quercus_robur,AH_OAK
AHB_ASH,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHB_BEE,Alice_Holt,Fagus_sylvatica,AH_BEE
AHB_BET,Alice_Holt,Betula_pendula,AH_BET
AHB_OAK,Alice_Holt,Quercus_robur,AH_OAK
AHC_ASH,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHC_BET,Alice_Holt,Betula_pendula,AH_BET
AHC_HAZ,Alice_Holt,Corylus_avellana,AH_HAZ
AHC_OAK,Alice_Holt,Quercus_robur,AH_OAK
BWA_ASH,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWA_BEE,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWA_BET,Bishops_Wood,Betula_pendula,BW_BET
BWA_HAZ,Bishops_Wood,Corylus_avellana,BW_HAZ
BWA_OAK,Bishops_Wood,Quercus_robur,BW_OAK
BWB_ASH,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWB_BEE,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWB_BET,Bishops_Wood,Betula_pendula,BW_BET
BWB_HAZ,Bishops_Wood,Corylus_avellana,BW_HAZ
BWB_OAK,Bishops_Wood,Quercus_robur,BW_OAK
BWC_ASH,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWC_BEE,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWC_BET,Bishops_Wood,Betula_pendula,BW_BET
BWC_HAZ,Bishops_Wood,Corylus_avellana,BW_HAZ
BWC_OAK,Bishops_Wood,Quercus_robur,BW_OAK
THA_ASH,Thetford,Fraxinus_excelsior,TH_ASH
THA_BEE,Thetford,Fagus_sylvatica,TH_BEE
THA_BET,Thetford,Betula_pendula,TH_BET
THA_OAK,Thetford,Quercus_robur,TH_OAK
THB_ASH,Thetford,Fraxinus_excelsior,TH_ASH
THB_BEE,Thetford,Fagus_sylvatica,TH_BEE
THB_BET,Thetford,Betula_pendula,TH_BET
THB_OAK,Thetford,Quercus_robur,TH_OAK
THC_ASH,Thetford,Fraxinus_excelsior,TH_ASH
THC_BEE,Thetford,Fagus_sylvatica,TH_BEE
THC_OAK,Thetford,Quercus_robur,TH_OAK
