#taxon	sample_count	sample_proportion
Anthribidae	1	0.03
Bibionidae	1	0.03
Bucculatricidae	1	0.03
Byturidae	1	0.03
Cryptophagidae	1	0.03
Delphacidae	1	0.03
Eurytomidae	1	0.03
Hemerobiidae	1	0.03
Issidae	1	0.03
Liviidae	1	0.03
Melampsoraceae	1	0.03
Nepticulidae	1	0.03
Nitidulidae	1	0.03
Panorpidae	1	0.03
Peripsocidae	1	0.03
Phoridae	1	0.03
Psyllidae	1	0.03
Raphidiidae	1	0.03
Reduviidae	1	0.03
Salpingidae	1	0.03
Sciomyzidae	1	0.03
Tettigoniidae	1	0.03
Tomoceridae	1	0.03
Araneidae	2	0.05
Caeciliusidae	2	0.05
Calliphoridae	2	0.05
Carabidae	2	0.05
Ceratopogonidae	2	0.05
Dictynidae	2	0.05
Elateridae	2	0.05
Entomobryidae	2	0.05
Limnephilidae	2	0.05
Rhagionidae	2	0.05
Scathophagidae	2	0.05
Sminthuridae	2	0.05
Tachinidae	2	0.05
Baetidae	3	0.08
Cecidomyiidae	3	0.08
Latridiidae	3	0.08
Nabidae	3	0.08
Nemesiidae	3	0.08
Pipunculidae	3	0.08
Syrphidae	3	0.08
Thomisidae	3	0.08
Brentidae	4	0.10
Calopterygidae	4	0.10
Clubionidae	4	0.10
Ichneumonidae	4	0.10
Nolidae	4	0.10
Philodromidae	4	0.10
Tetragnathidae	4	0.10
Chrysopidae	5	0.13
Cichlidae	5	0.13
Cynipidae	5	0.13
Oecophoridae	5	0.13
Triopsidae	5	0.13
Anyphaenidae	6	0.15
Aphrophoridae	6	0.15
Braconidae	6	0.15
Lygaeidae	6	0.15
Tortricidae	6	0.15
Coccinellidae	7	0.18
Linyphiidae	7	0.18
Lymantriidae	7	0.18
Helicidae	8	0.21
Notodontidae	8	0.21
Theridiidae	8	0.21
Curculionidae	9	0.23
Mydidae	9	0.23
Erebidae	10	0.26
Aphididae	11	0.28
Tenthredinidae	11	0.28
Chrysomelidae	12	0.31
Noctuidae	12	0.31
Nectriaceae	13	0.33
Anthocoridae	14	0.36
Cicadellidae	14	0.36
Acanthosomatidae	18	0.46
Pentatomidae	18	0.46
Stenopsocidae	22	0.56
Miridae	25	0.64
Geometridae	27	0.69
