Sample,Forest,Species,Replicate
AHA_ASH.blast,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHA_BEE.blast,Alice_Holt,Fagus_sylvatica,AH_BEE
AHA_BET.blast,Alice_Holt,Betula_pendula,AH_BET
AHA_HAZ.blast,Alice_Holt,Corylus_avellana,AH_HAZ
AHA_OAK.blast,Alice_Holt,Quercus_robur,AH_OAK
AHB_ASH.blast,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHB_BEE.blast,Alice_Holt,Fagus_sylvatica,AH_BEE
AHB_BET.blast,Alice_Holt,Betula_pendula,AH_BET
AHB_OAK.blast,Alice_Holt,Quercus_robur,AH_OAK
AHC_ASH.blast,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHC_BET.blast,Alice_Holt,Betula_pendula,AH_BET
AHC_HAZ.blast,Alice_Holt,Corylus_avellana,AH_HAZ
AHC_OAK.blast,Alice_Holt,Quercus_robur,AH_OAK
BWA_ASH.blast,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWA_BEE.blast,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWA_BET.blast,Bishops_Wood,Betula_pendula,BW_BET
BWA_HAZ.blast,Bishops_Wood,Corylus_avellana,BW_HAZ
BWA_OAK.blast,Bishops_Wood,Quercus_robur,BW_OAK
BWB_ASH.blast,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWB_BEE.blast,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWB_BET.blast,Bishops_Wood,Betula_pendula,BW_BET
BWB_HAZ.blast,Bishops_Wood,Corylus_avellana,BW_HAZ
BWB_OAK.blast,Bishops_Wood,Quercus_robur,BW_OAK
BWC_ASH.blast,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWC_BEE.blast,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWC_BET.blast,Bishops_Wood,Betula_pendula,BW_BET
BWC_HAZ.blast,Bishops_Wood,Corylus_avellana,BW_HAZ
BWC_OAK.blast,Bishops_Wood,Quercus_robur,BW_OAK
THA_ASH.blast,Thetford,Fraxinus_excelsior,TH_ASH
THA_BEE.blast,Thetford,Fagus_sylvatica,TH_BEE
THA_BET.blast,Thetford,Betula_pendula,TH_BET
THA_OAK.blast,Thetford,Quercus_robur,TH_OAK
THB_ASH.blast,Thetford,Fraxinus_excelsior,TH_ASH
THB_BEE.blast,Thetford,Fagus_sylvatica,TH_BEE
THB_BET.blast,Thetford,Betula_pendula,TH_BET
THB_OAK.blast,Thetford,Quercus_robur,TH_OAK
THC_ASH.blast,Thetford,Fraxinus_excelsior,TH_ASH
THC_BEE.blast,Thetford,Fagus_sylvatica,TH_BEE
THC_OAK.blast,Thetford,Quercus_robur,TH_OAK
