# Constructed from biom file
#OTU ID	Nectriaceae	Anyphaenidae	Araneidae	Clubionidae	Dictynidae	Linyphiidae	Nemesiidae	Philodromidae	Tetragnathidae	Theridiidae	Thomisidae	Triopsidae	Entomobryidae	Sminthuridae	Anthribidae	Brentidae	Byturidae	Carabidae	Chrysomelidae	Coccinellidae	Cryptophagidae	Curculionidae	Elateridae	Latridiidae	Nitidulidae	Salpingidae	Bibionidae	Calliphoridae	Cecidomyiidae	Ceratopogonidae	Mydidae	Pipunculidae	Rhagionidae	Sciomyzidae	Baetidae	Acanthosomatidae	Anthocoridae	Aphididae	Cicadellidae	Delphacidae	Issidae	Liviidae	Miridae	Nabidae	Pentatomidae	Reduviidae	Braconidae	Cynipidae	Eurytomidae	Tenthredinidae	Bucculatricidae	Erebidae	Geometridae	Lymantriidae	Nepticulidae	Noctuidae	Nolidae	Notodontidae	Oecophoridae	Tortricidae	Panorpidae	Chrysopidae	Hemerobiidae	Calopterygidae	Tettigoniidae	Peripsocidae	Stenopsocidae	Raphidiidae	Helicidae	Melampsoraceae	Tachinidae	Aphrophoridae	Lygaeidae	Ichneumonidae	Caeciliusidae	Limnephilidae	Tomoceridae	Phoridae	Scathophagidae	Syrphidae	Psyllidae	Cichlidae
AHA_ASH.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	39.0	0.0	0.0	0.0	0.0	0.0	222.0	3283.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	326.0	0.0	0.0	0.0	0.0	654.0	4794.0	0.0	23.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	59.0
AHA_BEE.blast	6.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3073.0	1144.0	0.0	0.0	0.0	0.0	0.0	2208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHA_BET.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2066.0	0.0	0.0	0.0	0.0	0.0	0.0	934.0	0.0	1961.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	1018.0	0.0	0.0	615.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHA_HAZ.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7921.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	8792.0	0.0	0.0	12800.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	27.0	0.0	0.0	5.0	0.0	0.0	0.0
AHA_OAK.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	43.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5282.0	0.0	15174.0	0.0	0.0	0.0	0.0	11.0	0.0	124.0	0.0	0.0	1314.0	0.0	0.0	3.0	246.0	70476.0	0.0	0.0	0.0	163.0	0.0	3.0	0.0	0.0	938.0	0.0	0.0	0.0	0.0	194.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
AHB_ASH.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	920.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	517.0	612.0	0.0	103865.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2729.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHB_BEE.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	20.0	0.0	0.0	0.0	9283.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	12.0	0.0	33335.0	0.0	0.0	0.0	189.0	0.0	8.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHB_BET.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.0	20.0	0.0	738.0	0.0	0.0	708.0	0.0	23750.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHB_OAK.blast	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	905.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.0	11373.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHC_ASH.blast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	197.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
