#taxon	sample_count	sample_proportion
Aphrophoridae	1	0.03
Bostrichidae	1	0.03
Bucculatricidae	1	0.03
Buprestidae	1	0.03
Byturidae	1	0.03
Cerambycidae	1	0.03
Corixidae	1	0.03
Cryptophagidae	1	0.03
Delphacidae	1	0.03
Drosophilidae	1	0.03
Entomobryidae	1	0.03
Eupelmidae	1	0.03
Eurytomidae	1	0.03
Figitidae	1	0.03
Gasteruptiidae	1	0.03
Gelechiidae	1	0.03
Gracillariidae	1	0.03
Hemerobiidae	1	0.03
Hepialidae	1	0.03
Histeridae	1	0.03
Issidae	1	0.03
Keroplatidae	1	0.03
Lasiocampidae	1	0.03
Limnesiidae	1	0.03
Liviidae	1	0.03
Megalopygidae	1	0.03
Melampsoraceae	1	0.03
Muscidae	1	0.03
Nemesiidae	1	0.03
Nepticulidae	1	0.03
Panorpidae	1	0.03
Papilionidae	1	0.03
Perilampidae	1	0.03
Peripsocidae	1	0.03
Psychidae	1	0.03
Raphidiidae	1	0.03
Salpingidae	1	0.03
Saturniidae	1	0.03
Sciaridae	1	0.03
Sciomyzidae	1	0.03
Simuliidae	1	0.03
Sparassidae	1	0.03
Tephritidae	1	0.03
Thraupidae	1	0.03
Tomoceridae	1	0.03
Anthomyiidae	2	0.05
Caeciliusidae	2	0.05
Calamoceratidae	2	0.05
Calliphoridae	2	0.05
Carabidae	2	0.05
Culicidae	2	0.05
Dictynidae	2	0.05
Elipsocidae	2	0.05
Heleomyzidae	2	0.05
Hydrophilidae	2	0.05
Latridiidae	2	0.05
Limnephilidae	2	0.05
Limoniidae	2	0.05
Milichiidae	2	0.05
Mycetophilidae	2	0.05
Psyllidae	2	0.05
Pyralidae	2	0.05
Rhagionidae	2	0.05
Sminthuridae	2	0.05
Tettigoniidae	2	0.05
Anthribidae	3	0.08
Araneidae	3	0.08
Coreidae	3	0.08
Elachistidae	3	0.08
Elateridae	3	0.08
Leiodidae	3	0.08
Lycaenidae	3	0.08
Nabidae	3	0.08
Psocidae	3	0.08
Tenebrionidae	3	0.08
Thomisidae	3	0.08
Baetidae	4	0.10
Calopterygidae	4	0.10
Chrysididae	4	0.10
Clubionidae	4	0.10
Crambidae	4	0.10
Formicidae	4	0.10
Nitidulidae	4	0.10
Philodromidae	4	0.10
Pipunculidae	4	0.10
Scelionidae	4	0.10
Staphylinidae	4	0.10
Syrphidae	4	0.10
Tetragnathidae	4	0.10
Brentidae	5	0.13
Cichlidae	5	0.13
Erebidae	5	0.13
Nolidae	5	0.13
Nymphalidae	5	0.13
Phoridae	5	0.13
Pterophoridae	5	0.13
Tachinidae	5	0.13
Triopsidae	5	0.13
Anyphaenidae	6	0.15
Cynipidae	6	0.15
Glossosomatidae	6	0.15
Lygaeidae	6	0.15
Ceratopogonidae	7	0.18
Chrysopidae	7	0.18
Coccinellidae	7	0.18
Linyphiidae	7	0.18
Lymantriidae	7	0.18
Oecophoridae	7	0.18
Pteromalidae	7	0.18
Theridiidae	7	0.18
Nectriaceae	8	0.21
Notodontidae	8	0.21
Tortricidae	9	0.23
Cecidomyiidae	10	0.26
Helicidae	10	0.26
Aphididae	11	0.28
Braconidae	11	0.28
Chrysomelidae	12	0.31
Cicadellidae	12	0.31
Anthocoridae	14	0.36
Curculionidae	14	0.36
Noctuidae	14	0.36
Tenthredinidae	14	0.36
Ectopsocidae	16	0.41
Chironomidae	19	0.49
Ichneumonidae	19	0.49
Stenopsocidae	22	0.56
Pentatomidae	26	0.67
Geometridae	27	0.69
Miridae	27	0.69
Acanthosomatidae	30	0.77
