Sample,Forest,Species,Replicate
AHA_ASH.kraken,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHA_BEE.kraken,Alice_Holt,Fagus_sylvatica,AH_BEE
AHA_BET.kraken,Alice_Holt,Betula_pendula,AH_BET
AHA_HAZ.kraken,Alice_Holt,Corylus_avellana,AH_HAZ
AHA_OAK.kraken,Alice_Holt,Quercus_robur,AH_OAK
AHB_ASH.kraken,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHB_BEE.kraken,Alice_Holt,Fagus_sylvatica,AH_BEE
AHB_BET.kraken,Alice_Holt,Betula_pendula,AH_BET
AHB_OAK.kraken,Alice_Holt,Quercus_robur,AH_OAK
AHC_ASH.kraken,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHC_BET.kraken,Alice_Holt,Betula_pendula,AH_BET
AHC_HAZ.kraken,Alice_Holt,Corylus_avellana,AH_HAZ
AHC_OAK.kraken,Alice_Holt,Quercus_robur,AH_OAK
BWA_ASH.kraken,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWA_BEE.kraken,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWA_BET.kraken,Bishops_Wood,Betula_pendula,BW_BET
BWA_HAZ.kraken,Bishops_Wood,Corylus_avellana,BW_HAZ
BWA_OAK.kraken,Bishops_Wood,Quercus_robur,BW_OAK
BWB_ASH.kraken,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWB_BEE.kraken,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWB_BET.kraken,Bishops_Wood,Betula_pendula,BW_BET
BWB_HAZ.kraken,Bishops_Wood,Corylus_avellana,BW_HAZ
BWB_OAK.kraken,Bishops_Wood,Quercus_robur,BW_OAK
BWC_ASH.kraken,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWC_BEE.kraken,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWC_BET.kraken,Bishops_Wood,Betula_pendula,BW_BET
BWC_HAZ.kraken,Bishops_Wood,Corylus_avellana,BW_HAZ
BWC_OAK.kraken,Bishops_Wood,Quercus_robur,BW_OAK
THA_ASH.kraken,Thetford,Fraxinus_excelsior,TH_ASH
THA_BEE.kraken,Thetford,Fagus_sylvatica,TH_BEE
THA_BET.kraken,Thetford,Betula_pendula,TH_BET
THA_OAK.kraken,Thetford,Quercus_robur,TH_OAK
THB_ASH.kraken,Thetford,Fraxinus_excelsior,TH_ASH
THB_BEE.kraken,Thetford,Fagus_sylvatica,TH_BEE
THB_BET.kraken,Thetford,Betula_pendula,TH_BET
THB_OAK.kraken,Thetford,Quercus_robur,TH_OAK
THC_ASH.kraken,Thetford,Fraxinus_excelsior,TH_ASH
THC_BEE.kraken,Thetford,Fagus_sylvatica,TH_BEE
THC_OAK.kraken,Thetford,Quercus_robur,TH_OAK
