Sample,Forest,Species,Replicate
THB_BET,Thetford,Betula_pendula,TH_BET
THA_OAK,Thetford,Quercus_robur,TH_OAK
THC_OAK,Thetford,Quercus_robur,TH_OAK
THA_BEE,Thetford,Fagus_sylvatica,TH_BEE
BWB_BEE,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWC_OAK,Bishops_Wood,Quercus_robur,BW_OAK
BWC_BEE,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWA_BET,Bishops_Wood,Betula_pendula,BW_BET
AHC_HAZ,Alice_Holt,Corylus_avellana,AH_HAZ
AHB_BEE,Alice_Holt,Fagus_sylvatica,AH_BEE
AHC_ASH,Alice_Holt,Fraxinus_excelsior,AH_ASH
THA_ASH,Thetford,Fraxinus_excelsior,TH_ASH
BWB_HAZ,Bishops_Wood,Corylus_avellana,BW_HAZ
AHB_BET,Alice_Holt,Betula_pendula,AH_BET
THB_BEE,Thetford,Fagus_sylvatica,TH_BEE
BWA_ASH,Bishops_Wood,Fraxinus_excelsior,BW_ASH
AHA_BEE,Alice_Holt,Fagus_sylvatica,AH_BEE
BWC_BET,Bishops_Wood,Betula_pendula,BW_BET
AHA_BET,Alice_Holt,Betula_pendula,AH_BET
BWA_HAZ,Bishops_Wood,Corylus_avellana,BW_HAZ
BWC_ASH,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWA_OAK,Bishops_Wood,Quercus_robur,BW_OAK
AHA_OAK,Alice_Holt,Quercus_robur,AH_OAK
BWC_HAZ,Bishops_Wood,Corylus_avellana,BW_HAZ
AHA_HAZ,Alice_Holt,Corylus_avellana,AH_HAZ
AHB_ASH,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHC_OAK,Alice_Holt,Quercus_robur,AH_OAK
BWA_BEE,Bishops_Wood,Fagus_sylvatica,BW_BEE
THA_BET,Thetford,Betula_pendula,TH_BET
AHA_ASH,Alice_Holt,Fraxinus_excelsior,AH_ASH
THB_OAK,Thetford,Quercus_robur,TH_OAK
THB_ASH,Thetford,Fraxinus_excelsior,TH_ASH
BWB_ASH,Bishops_Wood,Fraxinus_excelsior,BW_ASH
AHB_OAK,Alice_Holt,Quercus_robur,AH_OAK
BWB_OAK,Bishops_Wood,Quercus_robur,BW_OAK
AHC_BET,Alice_Holt,Betula_pendula,AH_BET
BWB_BET,Bishops_Wood,Betula_pendula,BW_BET
THC_ASH,Thetford,Fraxinus_excelsior,TH_ASH
THC_BEE,Thetford,Fagus_sylvatica,TH_BEE
